timestamp,avg_ear,avg_mar,avg_tilt,avg_redness,perclos,blink_count,blink_rate_per_min,yawn_count,yawn_rate_per_min,nod_count,nod_rate_per_min,fatigue_score,state
2026-03-21 15:28:10,0.3506,0.018,3.78,0.0028,0.0,0,0.0,0,0.0,0,0.0,0.0,Alert
2026-03-21 15:28:15,0.3425,0.0093,3.42,0.0042,3.45,1,11.8,0,0.0,0,0.0,1.41,Alert
2026-03-21 15:28:20,0.3113,0.0146,0.75,0.0255,27.59,0,0.0,0,0.0,0,0.0,12.07,Alert
2026-03-21 15:28:25,0.3173,0.0419,-1.26,0.1473,18.33,1,11.82,0,0.0,0,0.0,13.16,Alert
2026-03-21 15:28:30,0.2789,0.0467,-1.06,0.2498,36.21,4,47.48,0,0.0,0,0.0,39.59,Mild Fatigue
2026-03-21 15:28:35,0.3242,0.0447,-0.94,0.239,17.24,2,23.69,0,0.0,0,0.0,18.16,Alert
2026-03-21 15:28:41,0.3409,0.0561,-0.05,0.2381,8.33,1,11.85,0,0.0,0,0.0,9.43,Alert
2026-03-21 15:28:46,0.3394,0.0593,1.04,0.2249,3.45,1,11.99,0,0.0,0,0.0,9.48,Alert
2026-03-21 15:28:51,0.307,0.0557,2.84,0.2483,20.0,2,23.61,0,0.0,0,0.0,21.63,Alert
2026-03-21 15:28:56,0.358,0.0516,1.72,0.2019,0.0,0,0.0,0,0.0,0,0.0,8.0,Alert
2026-03-21 15:29:01,0.308,0.0395,1.03,0.2291,23.73,1,11.86,0,0.0,0,0.0,19.38,Alert
2026-03-21 15:29:20,0.3615,0.0216,1.42,0.0305,0.0,0,0.0,0,0.0,0,0.0,0.52,Alert
2026-03-21 15:29:25,0.3338,0.0183,1.32,0.0004,1.99,1,11.97,0,0.0,0,0.0,1.47,Alert
2026-03-21 15:29:30,0.2612,0.265,0.7,0.0068,34.44,4,47.95,2,23.98,0,0.0,45.06,Mild Fatigue
